adsh,cik,name,sic,countryba,stprba,cityba,zipba,bas1,bas2,baph,countryma,stprma,cityma,zipma,mas1,mas2,countryinc,stprinc,ein,former,changed,afs,wksi,fye,form,period,fy,fp,filed,accepted,prevrpt,detail,instance,nciks,aciks
0001193125-12-316848,789019,MICROSOFT CORP,7372.0,US,WA,REDMOND,98052-6399,ONE MICROSOFT WAY,,425-882-8080,US,WA,REDMOND,98052-6399,ONE MICROSOFT WAY,,US,WA,911144442.0,,,1-LAF,1,630.0,10-K,20120630,2012.0,FY,20120726,2012-07-26 16:13:00.0,0,1,msft-20120630.xml,1,
0001193125-12-444068,320193,APPLE INC,3571.0,US,CA,CUPERTINO,95014,ONE INFINITE LOOP,,(408) 996-1010,US,CA,CUPERTINO,95014,ONE INFINITE LOOP,,US,CA,942404110.0,APPLE COMPUTER INC,19970808.0,1-LAF,1,930.0,10-K,20120930,2012.0,FY,20121031,2012-10-31 17:07:00.0,0,1,aapl-20120929.xml,1,
0001193125-13-310206,789019,MICROSOFT CORP,7372.0,US,WA,REDMOND,98052-6399,ONE MICROSOFT WAY,,425-882-8080,US,WA,REDMOND,98052-6399,ONE MICROSOFT WAY,,US,WA,911144442.0,,,1-LAF,1,630.0,10-K,20130630,2013.0,FY,20130730,2013-07-30 16:15:00.0,0,1,msft-20130630.xml,1,
0001193125-13-416534,320193,APPLE INC,3571.0,US,CA,CUPERTINO,95014,ONE INFINITE LOOP,,(408) 996-1010,US,CA,CUPERTINO,95014,ONE INFINITE LOOP,,US,CA,942404110.0,APPLE COMPUTER INC,19970808.0,1-LAF,1,930.0,10-K,20130930,2013.0,FY,20131030,2013-10-29 20:38:00.0,0,1,aapl-20130928.xml,1,
0001193125-14-289961,789019,MICROSOFT CORP,7372.0,US,WA,REDMOND,98052-6399,ONE MICROSOFT WAY,,425-882-8080,US,WA,REDMOND,98052-6399,ONE MICROSOFT WAY,,US,WA,911144442.0,,,1-LAF,1,630.0,10-K,20140630,2014.0,FY,20140731,2014-07-31 17:17:00.0,0,1,msft-20140630.xml,1,
0001193125-14-383437,320193,APPLE INC,3571.0,US,CA,CUPERTINO,95014,ONE INFINITE LOOP,,(408) 996-1010,US,CA,CUPERTINO,95014,ONE INFINITE LOOP,,US,CA,942404110.0,APPLE COMPUTER INC,19970808.0,1-LAF,1,930.0,10-K,20140930,2014.0,FY,20141027,2014-10-27 17:12:00.0,0,1,aapl-20140927.xml,1,
0001193125-15-272806,789019,MICROSOFT CORP,7372.0,US,WA,REDMOND,98052-6399,ONE MICROSOFT WAY,,425-882-8080,US,WA,REDMOND,98052-6399,ONE MICROSOFT WAY,,US,WA,911144442.0,,,1-LAF,1,630.0,10-K,20150630,2015.0,FY,20150731,2015-07-31 15:08:00.0,0,1,msft-20150630.xml,1,
0001193125-15-356351,320193,APPLE INC,3571.0,US,CA,CUPERTINO,95014,ONE INFINITE LOOP,,(408) 996-1010,US,CA,CUPERTINO,95014,ONE INFINITE LOOP,,US,CA,942404110.0,APPLE COMPUTER INC,19970808.0,1-LAF,1,930.0,10-K,20150930,2015.0,FY,20151028,2015-10-28 16:31:00.0,0,1,aapl-20150926.xml,1,
0001193125-16-662209,789019,MICROSOFT CORP,7372.0,US,WA,REDMOND,98052-6399,ONE MICROSOFT WAY,,425-882-8080,US,WA,REDMOND,98052-6399,ONE MICROSOFT WAY,,US,WA,911144442.0,,,1-LAF,1,630.0,10-K,20160630,2016.0,FY,20160728,2016-07-28 16:12:00.0,0,1,msft-20160630.xml,1,
0001628280-16-020309,320193,APPLE INC,3571.0,US,CA,CUPERTINO,95014,ONE INFINITE LOOP,,(408) 996-1010,US,CA,CUPERTINO,95014,ONE INFINITE LOOP,,US,CA,942404110.0,APPLE COMPUTER INC,19970808.0,1-LAF,1,930.0,10-K,20160930,2016.0,FY,20161026,2016-10-26 16:42:00.0,0,1,aapl-20160924.xml,1,
0001564590-17-014900,789019,MICROSOFT CORP,7372.0,US,WA,REDMOND,98052-6399,ONE MICROSOFT WAY,,425-882-8080,US,WA,REDMOND,98052-6399,ONE MICROSOFT WAY,,US,WA,911144442.0,,,1-LAF,1,630.0,10-K,20170630,2017.0,FY,20170802,2017-08-02 16:15:00.0,0,1,msft-20170630.xml,1,
0000320193-17-000070,320193,APPLE INC,3571.0,US,CA,CUPERTINO,95014,ONE INFINITE LOOP,,(408) 996-1010,US,CA,CUPERTINO,95014,ONE INFINITE LOOP,,US,CA,942404110.0,APPLE COMPUTER INC,19970808.0,1-LAF,1,930.0,10-K,20170930,2017.0,FY,20171103,2017-11-03 08:02:00.0,0,1,aapl-20170930.xml,1,
0001564590-18-019062,789019,MICROSOFT CORP,7372.0,US,WA,REDMOND,98052-6399,ONE MICROSOFT WAY,,425-882-8080,US,WA,REDMOND,98052-6399,ONE MICROSOFT WAY,,US,WA,911144442.0,,,1-LAF,1,630.0,10-K,20180630,2018.0,FY,20180803,2018-08-03 11:04:00.0,0,1,msft-20180630.xml,1,
0000320193-18-000145,320193,APPLE INC,3571.0,US,CA,CUPERTINO,95014,ONE APPLE PARK WAY,,(408) 996-1010,US,CA,CUPERTINO,95014,ONE APPLE PARK WAY,,US,CA,942404110.0,APPLE COMPUTER INC,19970808.0,1-LAF,1,930.0,10-K,20180930,2018.0,FY,20181105,2018-11-05 08:02:00.0,0,1,aapl-20180929.xml,1,
